,Source,Target,Weight,Type
161,"Nikitenko, Mihail","Niemann, Hans Moke",1,Directed
162,"Niemann, Hans Moke","Nikitenko, Mihail",1,Directed
163,"Travadon, Loic","Niemann, Hans Moke",1,Directed
164,"Niemann, Hans Moke","Travadon, Loic",1,Directed
165,"Niemann, Hans Moke","Rakotomaharo, Fy Antenaina",1,Directed
166,"Niemann, Hans Moke","Kotronias, Vasilios",1,Directed
167,"Niemann, Hans Moke","Cassi, Elisa",1,Directed
168,"Niemann, Hans Moke","Cacinschi, Alexandru",1,Directed
169,"Niemann, Hans Moke","Solomon, Kenny",1,Directed
170,"Niemann, Hans Moke","Cappelletto, Joushuade",1,Directed
171,"Niemann, Hans Moke","Baenziger, Fabian",1,Directed
172,"Sebenik, Matej","Niemann, Hans Moke",1,Directed
173,"Niemann, Hans Moke","Subelj, Jan",1,Directed
174,"Niemann, Hans Moke","Sonis, Francesco",1,Directed
175,"Niemann, Hans Moke","Martin Duque, Jesus",1,Directed
176,"Shetty, Atulya","Niemann, Hans Moke",1,Directed
177,"Niemann, Hans Moke","Kuhn, Clement",1,Directed
178,"Niemann, Hans Moke","Pasini, Nicolo",1,Directed
179,"Schreiner, Peter","Niemann, Hans Moke",1,Directed
180,"Niemann, Hans Moke","Deuer, Marius",1,Directed
181,"Niemann, Hans Moke","Diermair, Andreas",1,Directed
182,"Moroni, Luca Jr","Niemann, Hans Moke",1,Directed
183,"Niemann, Hans Moke","Moroni, Luca Jr",1,Directed
184,"Di Benedetto, Edoardo","Niemann, Hans Moke",1,Directed
185,"Niemann, Hans Moke","Mameli, Gianluca",1,Directed
186,"Niemann, Hans Moke","Brinovec, David",1,Directed
187,"Niemann, Hans Moke","Popchev, Milko",1,Directed
188,"Niemann, Hans Moke","Drazic, Sinisa",1,Directed
189,"Niemann, Hans Moke","Omorjan, Dejan",1,Directed
190,"Niemann, Hans Moke","Peycheva, Gergana",1,Directed
191,"Niemann, Hans Moke","Davtyan, Artur",1,Directed
192,"Niemann, Hans Moke","Cvitan, Ena",1,Directed
193,"Niemann, Hans Moke","Gharibyan, Mamikon",1,Directed
194,"Niemann, Hans Moke","Nikcevic, Nebojsa",1,Directed
195,"Niemann, Hans Moke","Sanal, Vahap",1,Directed
196,"Niemann, Hans Moke","Kisic, Bozidar",1,Directed
197,"Niemann, Hans Moke","Girel, Joseph",1,Directed
198,"Niemann, Hans Moke","Draskovic, Luka",1,Directed
199,"Niemann, Hans Moke","Nikac, Predrag",1,Directed
200,"Bogosavljevic, Boban","Niemann, Hans Moke",1,Directed
201,"Niemann, Hans Moke","Osmak, Iulija",1,Directed
202,"Niemann, Hans Moke","Sukovic, Andrej",1,Directed
203,"Niemann, Hans Moke","Katz, Alexander R",1,Directed
204,"Niemann, Hans Moke","Tian, Eddy",1,Directed
205,"Niemann, Hans Moke","Asaria, Danial",1,Directed
206,"Belous, Vladimir","Niemann, Hans Moke",1,Directed
207,"Niemann, Hans Moke","Cordova, Emilio",1,Directed
208,"Cordova, Emilio","Niemann, Hans Moke",1,Directed
209,"Niemann, Hans Moke","Mahajan, Rushaan",1,Directed
210,"Niemann, Hans Moke","Morrison, William",1,Directed
211,"Niemann, Hans Moke","Liang, Jason",1,Directed
212,"Niemann, Hans Moke","Gledura, Benjamin",1,Directed
213,"Niemann, Hans Moke","Dong, Andy",1,Directed
214,"Niemann, Hans Moke","Gorman, Dov",1,Directed
215,"Niemann, Hans Moke","Hungaski, Robert Andrew",1,Directed
216,"Niemann, Hans Moke","Rosenthal, Nicholas",1,Directed
217,"Niemann, Hans Moke","Monteiro, Paulo Alexandre G",1,Directed
218,"Niemann, Hans Moke","Storme, Isak",1,Directed
219,"Niemann, Hans Moke","Veiga, Jose Francisco RP",1,Directed
220,"Niemann, Hans Moke","Garcia Hernandez, Angel",1,Directed
221,"Niemann, Hans Moke","De Schampheleire, Glen",1,Directed
222,"Niemann, Hans Moke","Campora, Daniel Hugo",1,Directed
223,"Niemann, Hans Moke","Yankelevich, Lev",1,Directed
224,"Warmerdam, Max","Niemann, Hans Moke",1,Directed
225,"Niemann, Hans Moke","Warmerdam, Max",1,Directed
226,"Niemann, Hans Moke","Vlachos, Anatole",1,Directed
227,"Niemann, Hans Moke","Erigaisi, Arjun Kumar",1,Directed
228,"Niemann, Hans Moke","Bicer, Atakan Mert",1,Directed
229,"Niemann, Hans Moke","Indjic, Aleksandar",1,Directed
230,"Niemann, Hans Moke","Cabarkapa, Novak",1,Directed
231,"Niemann, Hans Moke","Budisavljevic, Luka",1,Directed
232,"Niemann, Hans Moke","Damjanovic, Vuk",1,Directed
233,"Niemann, Hans Moke","Rios, Cristhian Camilo",1,Directed
234,"Salem, AR Saleh","Niemann, Hans Moke",1,Directed
235,"Niemann, Hans Moke","Amin, Bassem",1,Directed
236,"Abdusattorov, Nodirbek","Niemann, Hans Moke",1,Directed
237,"Niemann, Hans Moke","Nikolov, Momchil",1,Directed
238,"Niemann, Hans Moke","Harutyunian, Tigran K",1,Directed
239,"Niemann, Hans Moke","Urh, Zala",1,Directed
240,"Niemann, Hans Moke","Bashirli, Nail Qoshqar",1,Directed
241,"Niemann, Hans Moke","Ochedzan, Tymon",1,Directed
242,"Niemann, Hans Moke","Rakhmatullaev, Almas",1,Directed
243,"Niemann, Hans Moke","Koziak, Vitali",1,Directed
244,"Niemann, Hans Moke","Vokhidov, Shamsiddin",1,Directed
245,"Niemann, Hans Moke","Dzhumaev, Marat",1,Directed
246,"Niemann, Hans Moke","Vakhidov, Jahongir",1,Directed
247,"Niemann, Hans Moke","Muradli, Mahammad",1,Directed
248,"Niemann, Hans Moke","Mamedyarov, Shakhriyar",1,Directed
249,"So, Wesley","Niemann, Hans Moke",1,Directed
250,"Caruana, Fabiano","Niemann, Hans Moke",1,Directed
251,"Niemann, Hans Moke","Carlsen, Magnus",1,Directed
252,"Niemann, Hans Moke","Kobalia, Mihail",1,Directed
253,"Niemann, Hans Moke","Idani, Pouya",1,Directed
254,"Niemann, Hans Moke","Shankland, Samuel L",1,Directed
255,"Xiong, Jeffery","Niemann, Hans Moke",1,Directed
256,"Niemann, Hans Moke","Tari, Aryan",1,Directed
257,"Niemann, Hans Moke","Dominguez Perez, Leinier",1,Directed
258,"Sevian, Samuel","Niemann, Hans Moke",1,Directed
259,"Duda, Jan Krzysztof","Niemann, Hans Moke",1,Directed
260,"Aronian, Levon","Niemann, Hans Moke",1,Directed
261,"Rapport, Richard","Niemann, Hans Moke",1,Directed
262,"Ju, Wenjun","Niemann, Hans Moke",1,Directed
263,"Wojtaszek, Radoslaw","Niemann, Hans Moke",1,Directed
264,"Giri, Anish","Niemann, Hans Moke",1,Directed
265,"Niemann, Hans Moke","Jones, Gawain C B",1,Directed
266,"Ter Sahakyan, Samvel","Niemann, Hans Moke",1,Directed
267,"Donchenko, Alexander","Niemann, Hans Moke",1,Directed
268,"Niemann, Hans Moke","Martirosyan, Haik M",1,Directed
269,"Stocek, Jiri","Niemann, Hans Moke",1,Directed
270,"Niemann, Hans Moke","Sasikiran, Krishnan",1,Directed
271,"Niemann, Hans Moke","Hracek, Zbynek",1,Directed
272,"Niemann, Hans Moke","Michalik, Peter",1,Directed
273,"Niemann, Hans Moke","Krzyzanowski, Marcin",1,Directed
274,"Van Foreest, Lucas","Niemann, Hans Moke",1,Directed
275,"Niemann, Hans Moke","Mammadzada, Gunay Vuqar Qizi",1,Directed
276,"Niemann, Hans Moke","Ganguly, Surya Shekhar",1,Directed
277,"Niemann, Hans Moke","Ponkratov, Pavel",1,Directed
278,"Niemann, Hans Moke","Areshchenko, Alexander",1,Directed
279,"Niemann, Hans Moke","Shirov, Alexei",1,Directed
280,"Niemann, Hans Moke","Mareco, Sandro",1,Directed
281,"Niemann, Hans Moke","Quesada Perez, Yasser",1,Directed
282,"Niemann, Hans Moke","Albornoz Cabrera, Carlos Daniel",1,Directed
283,"Niemann, Hans Moke","Yilmaz, Mustafa",1,Directed
284,"Niemann, Hans Moke","Johansson, Carl Fredrik",1,Directed
